Id,State,PostalCode,Categories,PriceRangeMax
273,CA,94014,"Pizza,Restaurant,American,Fast Food,Pizza Place",25
274,CA,92648,"Restaurant,Pizza Place",25
275,CA,92646,"Restaurant,Pizza Place",25
276,CA,95014,"Restaurant,Pizza Place,Sandwich Place",25
277,CA,90211,"Pizza Place,Pizza Place West Los Angeles",25
278,CA,91790,Pizza Place,25
279,CA,94619,"Pizza,Restaurant,Pizza Place",25
280,CA,94121,"Italian Restaurant,Pizza Place",40
281,CA,91364,"Pizza,Restaurant,Pizza Place",25
282,CA,95125,"Restaurant,Pizza Place",25
283,CA,91764,"Pizza,Restaurant,Caterers,Pizza Place",25
284,CA,94704,"Pizza Place,Pizza Place Downtown Berkeley",25
285,CA,94122,Pizza Place,25
286,CA,90042,"Restaurant,Pizza Place Highland Park,Pizza Place",25
287,CA,95032,"Restaurant,Pizza Place",25
288,CA,92708,"Pizza,Restaurant,Italian,Pizza Place,Restaurants",25
289,CA,91350,"Pizza,Restaurant,Pizza Place",25
290,CA,92116,"Restaurant,Pizza Place",40
291,CA,94115,"Pizza,Restaurant,Italian,Pizza Place",40
292,CA,94109,"Restaurant,Pizza Place Lower Nob Hill,Pizza Place",25
293,CA,91327,"Restaurant,Pizza Place Porter Ranch,Counselor,Pizza Place,Healthcare Provider",25
294,CA,95819,"Restaurant,Pizza Place",25
295,CA,92562,Pizza Place,25
296,CA,94541,"Pizza,Restaurant,Pizza Place,Restaurants",25
297,CA,94582,Pizza Place,25
298,CA,94110,"Pizza,Indian Restaurant,Restaurant,Pizza Place,Fusion",40
299,CA,92708,Pizza Place,25
300,CA,91786,"Restaurant,Pizza Place",25
301,CA,95401,"Pizza,Food and Beverage,Pizza Place,Restaurants",25
302,CA,92544,"Restaurant,Pizza Place",25
303,CA,92399,Pizza Place,25
304,CA,95351,Pizza Place,25
305,CA,94560,"Restaurant,Pizza Place",40
306,CA,92562,Pizza Place,25
307,CA,92120,"Pizza,Restaurant,Pizza Place",25
308,CA,94526,"restaurant,Pizza Place",25
309,CA,95833,"Restaurant,Pizza Place,Pizza Place South Natomas",25
310,CA,95008,Pizza Place,40
311,CA,92130,Pizza Place,40
312,CA,94103,"Pizza Place,Wine Bar",25
313,CA,94103,"Pizza Place,Restaurant",25
314,CA,95240,Pizza Place,25
315,CA,91710,Pizza Place,25
316,CA,92626,"Pizza Place,Italian Restaurant,Pizza Place and Italian Restaurant,Restaurants",25
317,CA,92708,"Pizza Place,Restaurants,Restaurant,Pizza,American restaurants",25
318,CA,96150,"Pizza Place,Restaurant,Pizza,Breakfast & Brunch",25
319,CA,93065,Pizza Place,25
320,CA,92840,Pizza Place,40
321,CA,91701,"Pizza Place,Pizza,Italian Restaurants,Restaurants",25
322,CA,90245,"Pizza Place,Restaurant",40
323,CA,94070,Pizza Place,25
324,CA,92025,"Restaurant,Pizza Place,Pizza",25
325,CA,95928,"Pizza Place,Restaurant",40
326,CA,90028,"Pizza Place,restaurant",40
327,CA,90024,"Pizza Place,Pizza,Restaurants",40
328,CA,94109,"Pizza Place,Restaurant",25
329,CA,94609,"Pizza Place,Bar,Pub",25
330,CA,91320,Pizza Place,25
331,CA,94568,Pizza Place,25
332,CA,95747,"Pizza Place,Restaurant",25
333,CA,92683,"Pizza Place,Italian Restaurant",25
334,CA,92648,"Pizza Place,Restaurant,Italian,Pizza",40
335,CA,93230,Pizza Place,25
336,CA,95765,"Italian Restaurant,Pizza Place",25
337,CA,93401,Pizza Place,25
338,CA,90034,"Pizza Place,Take Out Restaurants,Pizza Place Palms,Restaurants,Pizza",25
339,CA,92075,"Pizza Place,Restaurant",25
340,CA,93108-2737,"Restaurant,Pizza Place,Italian Restaurant,Pizza Place and Italian Restaurant",25
341,CA,95037,"Pizza Place,Restaurant",25
342,CA,94002,Pizza Place,25
343,CA,92336,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",40
344,CA,92284,Pizza Place,25
345,CO,80203,"Pizza,Restaurant,Pizza Place",25
346,CO,81101,"Italian Restaurant,Pizza Place",40
347,CO,80521,"Restaurant,Pizza Place,Restaurants",25
348,CO,81201,"Brewery,Pizza Place",25
349,CO,81301,"Pizza,Pizza Place,Restaurants",25
350,CO,80015,Pizza Place,25
351,CO,80021,"Beer Garden,Pizza Place",25
352,CO,80524,"Pizza Place,Pizza Place Downtown Fort Collins",25
353,CO,80122,"Italian Restaurant,Restaurant,Pizza Place and Italian Restaurant,Pizza Place",40
354,CO,80111,"Italian Restaurant,Pizza Place",25
355,CO,80525,"Pizza,Pizza Place,Restaurants",25
356,CO,80134,"wholesale,Pizza Place",25
357,CO,80202,Pizza Place,40
358,CO,81212,Pizza Place,25
359,CO,80124,"Pizza Place,Restaurants",40
360,CO,80209,"Pizza,American Restaurants,Restaurant,Pizza Restaurants,Caterers,Pizza Place,Restaurants",24
361,CO,80302,"Pizza,American restaurants,Pizza Place,Restaurants",25
362,CO,80104,"Pizza,Take Out Restaurants,Pizza Place,Restaurants",25
363,CO,80104,"Pizza,Carry-out food,Pizza Place,Restaurants",25
364,CO,81147,"Pizza,Pizza Place,Restaurants",25
365,CO,80210,"Restaurant,Pizza Place",25
366,CO,81601,Pizza Place,25
367,CO,80301,"Restaurant,Pizza Place",25
368,CO,80302,"Pizza,Restaurant,Pizza Place",40
369,CO,80920,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",25
370,CO,80503,"Restaurant,Pizza Place",25
371,CO,80033,"Pizza,Restaurant,Pizza Place",25
372,CO,80829,Pizza Place,25
373,CO,80302,"Restaurant,Pizza Place",25
374,CO,80202,"Restaurant,Pizza Place,Pizza Place Highland",40
375,CO,80923,"Restaurant,Pizza Place,Restaurants",25
376,CO,80134,Pizza Place,25
377,CO,80129,Pizza Place,25
378,CO,80903,"Restaurant,Pizza Place",25
379,CO,80526,Pizza Place,25
380,CO,80026,"Italian Restaurant,Pizza Place",40
381,CO,80129,"Pizza Place,Zoo,Bar",25
382,CO,80222,Pizza Place,25
383,CO,80218,Pizza Place,40
384,CO,80013,"Pizza Place,Restaurant,Pizza,Chain Restaurant",25
385,CT,06801-1053,"Italian Restaurant,Restaurant,Pizza Place,Italian Restaurant and Pizza Place",40
386,DE,19958,Pizza Place,25
387,DE,19975,Pizza Place,25
388,DE,19713,Pizza Place,25
389,DE,19966,"Pizza,Pizza Place,Restaurants",25
390,DE,19709,"Italian Restaurant,Pizza Place",25
391,DE,19803,Pizza Place,25
392,DE,19713,Pizza Place,25
393,FL,32309,Pizza Place,25
394,FL,32720,"Restaurant,Pizza Place,Restaurants",25
395,FL,32257,"Restaurant,Pizza Place",25
396,FL,32821,"Italian Restaurant,Pizza Place",40
397,FL,32714,"Italian Restaurant,Pizza Place",25
398,FL,32714,Pizza Place,25
399,FL,32819,Pizza Place,25
400,FL,34668,Pizza Place,25
401,FL,33897,"Pizza,Delicatessens,American restaurants,Pizza Place,Restaurants",25
402,FL,32765,"Restaurant,Pizza Place",25
403,FL,33062,"Bar,Pizza Place",40
404,FL,33166,"Pizza,Restaurant,Karaoke,Pizza Place,Restaurants",25
405,FL,34957,"American Restaurant,Pizza Place",40
406,FL,32826,Pizza Place,25
407,FL,32828,"Event Space,Pizza Place",25
408,FL,33180,"Italian Restaurant,Pizza Place",55
409,FL,33351,"Italian Restaurant,Pizza Place",40
410,FL,34684,"Italian Restaurant,Pizza Place",25
411,FL,32605,Pizza Place,40
412,FL,33139,"Pizza,Restaurant,Pizza Place",25
413,FL,32246,"Restaurant,Pizza Place,Restaurants",25
414,FL,32168,Pizza Place,25
415,FL,33181,Pizza Place,25
416,FL,32803,"Pizza,Italian Restaurant,Restaurant,Italian,Pizza Place",40
417,FL,33511,Pizza Place,25
418,FL,33444,Pizza Place,25
419,FL,34145,Pizza Place,25
420,FL,34236,"Italian Restaurant,Pizza Place",25
421,FL,33322,Pizza Place,25
422,FL,32168,Pizza Place,25
423,FL,34668,Pizza Place,25
424,FL,32712,Pizza Place,25
425,FL,32086,Pizza Place,25
426,FL,32907,"Italian Restaurant,Pizza Place and Italian Restaurant,Pizza Place",25
427,FL,33445,"Italian Restaurant,Pizza Place",25
428,FL,32561,Pizza Place,25
429,FL,34442,Pizza Place,25
430,FL,33914,"Restaurant,Pizza Place",25
431,FL,33510,"Restaurant,Pizza Place",25
432,FL,33172,"Italian Restaurant,Pizza Place",40
433,FL,33324,"Italian Restaurant,Pizza Place",40
434,FL,33139,"Pizza,Italian Restaurant,Restaurant,Italian,Pizza Place",40
435,FL,34683,Pizza Place,25
436,FL,32818,"Pizza,Restaurant,Chain Restaurant,Pizza Place",25
437,FL,34471,"Restaurant,Pizza Place",25
