Id,City,Name,Address,Coordinates,StateCode
219,Boise,Idaho Pizza Company,4218 W Overland Rd,[43.589757] [-116.234494],ID
220,Boone,Capones Pizza and Bar,454 W King St,[36.21728] [-81.680947],NC
221,Bothell,The Rock Wood Fired Pizza,1918 201st Pl SE,[47.814792] [-122.207248],WA
222,Bothell,Elliott Bay Pizza & Pub,800 164th St SE,[47.849423] [-122.220494],WA
223,Boulder,Cosmos Pizza,1325 Broadway,[40.01007] [-105.277021],CO
224,Boulder,Papa Murphy's,3325 28th St,[40.035269] [-105.259768],CO
225,Boulder,Pizzeria Da Lupo,2525 Arapahoe Ave,[40.016945] [-105.261669],CO
226,Boulder,Papa John's Pizza,2420 Arapahoe Ave,[40.014555] [-105.262714],CO
227,Bowling Green,Pisanellos,203 N Main St,[41.37624548] [-83.65051423],OH
228,Boynton Beach,Dean Anthony's,357 N Congress Ave,[26.52898394] [-80.09236955],FL
229,Bradenton,Fire Stone Pizza,10519 Cortez Rd W,[27.463112] [-82.668633],FL
230,Bradenton,Monty's Pizza,8386 Market St,[27.3903] [-82.4433],FL
231,Bradenton,Ferraros Pizza And Restaurant,817 Tamiami Trl,[27.492279] [-82.574907],FL
232,Brandon,Wize Guyz Pizzeria,2498 W Brandon Blvd Ste B,[27.942765] [-82.324359],FL
233,Brandon,Brandon Pizzeria,140 N Parsons Ave,[27.938904] [-82.285922],FL
234,Brandon,Anthonys Coal Fired Pizza,1912 W Brandon Blvd,[27.938068] [-82.315844],FL
235,Brandon,Mazzios Pizza,118 Service Dr,[32.283241] [-90.026572],MS
236,Branson,Luigi's Pizza Kitchen,1447 State Highway 248,[36.662774] [-93.240597],MO
237,Brentwood,Papa Murphys Pizza,8113 Moores Ln,[35.965384] [-86.801143],TN
238,Brentwood,Tony's Pizza & Restaurant,161 Clarke St,[40.7993] [-73.2488],NY
239,Brewster,Mezza Luna Pizzeria Restaurant,1151 Route 22,[41.420408] [-73.578332],NY
240,Brewster,Sinapi's Pizza,1583 Route 22,[41.425783] [-73.578355],NY
241,Bridgeport,Mia Margherita,139 Conference Center Way,[39.323649] [-80.231136],WV
242,Bristow,Tony's New York Pizza,10314 Bristow Center Dr,[38.73363092] [-77.55097328],VA
243,Brodheadsville,Mike's Pizzeria Italian Restaurant /Brodheadsville,1421 Route 209,[40.917384] [-75.422768],PA
244,Broken Arrow,Andolini's Pizzeria Broken Arrow,222 S Main St,[36.05076068] [-95.79092819],OK
245,Bronx,Franks Pizza Restaurant,4106 E Tremont Ave,[40.818721] [-73.817239],NY
246,Bronx,Roma Pizza,1302 Castle Hill Ave,[40.834398] [-73.851803],NY
247,Bronx,Yolandas Italian Pizzeria Restaurant,292 E 149th St,[40.817098] [-73.921866],NY
248,Bronx,John Joes Pizzeria,749 Lydig Ave,[40.85452] [-73.865824],NY
249,Bronx,Marconi Pizzeria,181 E Gun Hill Rd,[40.880766] [-73.877808],NY
250,Bronx,Pugsley Pizza,590 E 191st St,[40.85881] [-73.88475],NY
251,Bronx,Nona's Pizza,6100 Riverdale Ave,[40.910131] [-73.902837],NY
252,Bronx,Pizza Chef,564 W 235th St,[40.88564] [-73.910245],NY
253,Bronx,Addeo's Riverdale Pizzeria,5654 Riverdale Ave,[40.905766] [-73.90411],NY
254,Bronx,Katonah Pizza & Pasta,4307 Katonah Ave,[40.898674] [-73.86765],NY
